total.voter,total.vote,valid.vote,opened.ballot,total.ballot,EVET.vote,EVET.ratio,HAYIR.vote,HAYIR.ratio,district.LAU,voter.count.Haziran,voted.count.Haziran,unchallenged.valid.vote.count.Haziran,challenged.valid.vote.count.Haziran,total.valid.vote.count.Haziran,invalid.vote.count.Haziran,AKP.Haziran,CHP.Haziran,HDP.Haziran,MHP.Haziran,voter.count.Kasim,voted.count.Kasim,unchallenged.valid.vote.count.Kasim,challenged.valid.vote.count.Kasim,total.valid.vote.count.Kasim,invalid.vote.count.Kasim,AKP.Kasim,CHP.Kasim,HDP.Kasim,MHP.Kasim,AKP.2018meclis,MHP.2018meclis,CHP.2018meclis,IYI.2018meclis,SP.2018meclis,HDP.2018meclis,VP.2018meclis,HUDAPAR.2018meclis,BGMSZ.2018meclis,voter.count.2018meclis,voted.count.2018meclis,total.valid.vote.count.2018meclis,invalid.vote.count.2018meclis,INCE.2018cb,AKSENER.2018cb,ERDOGAN.2018cb,DEMIRTAS.2018cb,KARAMOLLAOGLU.2018cb,PERINCEK.2018cb,voter.count.2018cb,voted.count.2018cb,total.valid.vote.count.2018cb,invalid.vote.count.2018cb,province.name,province.name.ascii,province.HASC,province.iso3166.2,province.iso3166.2.character,province.NUTS3,province.FIPS,province.population.2007,province.area.km2,region.code,district.name,district.name.ascii,district.name.ascii.normalized
4434,3380,3331,37,37,2917,8757,414,1243,1893,5131,4170,4030,0,4030,140,3128,211,22,363,4901,4044,3978,0,3978,66,3354,223,12,222,3849,418,251,189,117,8,16,15,0,5760,4952,4863,89,333,146,4251,3,92,7,5760,4952,4832,120,giresun,giresun,TR.GI,28,28,TR903,TU28,417505,6934,BS,çamoluk,camoluk,camoluk
4858,4113,3986,24,24,2996,7516,990,2484,1894,5011,4120,3974,0,3974,146,2480,564,21,681,4947,4327,4206,0,4206,121,3151,451,7,424,2284,1073,441,319,37,16,15,23,0,4942,4362,4208,154,618,291,3195,20,43,13,4942,4365,4180,185,giresun,giresun,TR.GI,28,28,TR903,TU28,417505,6934,BS,çanakçı,canakci,canakci
16022,13064,12800,64,64,10025,7832,2775,2168,1272,15801,13199,12845,0,12845,354,8368,1551,57,2188,15727,13522,13284,0,13284,238,10091,1415,37,1251,9661,1124,901,1674,81,25,46,54,0,16091,14074,13566,508,1484,886,11001,29,55,37,16091,14082,13492,590,giresun,giresun,TR.GI,28,28,TR903,TU28,417505,6934,BS,dereli,dereli,dereli
4839,4169,4075,20,20,3008,7382,1067,2618,1912,4954,4149,4032,0,4032,117,2504,474,30,827,4951,4244,4154,0,4154,90,2972,377,13,628,2689,512,370,495,33,31,16,12,0,4886,4272,4158,114,580,391,3106,8,37,15,4886,4273,4137,136,giresun,giresun,TR.GI,28,28,TR903,TU28,417505,6934,BS,doğankent,dogankent,dogankent
25073,20659,20281,81,81,12959,6390,7322,3610,1320,23862,19489,19004,8,19012,477,10765,4281,158,2851,23857,20300,19875,0,19875,425,12691,3728,89,2656,11542,2216,3780,2916,237,243,72,90,0,25516,21777,21096,681,5115,2059,13536,55,177,65,25516,21780,21007,773,giresun,giresun,TR.GI,28,28,TR903,TU28,417505,6934,BS,espiye,espiye,espiye
9861,8027,7809,36,36,4891,6263,2918,3737,1324,10071,8170,7943,0,7943,227,4285,1963,63,1235,10013,8232,8067,0,8067,165,4954,1827,30,945,4813,748,1848,881,137,80,24,24,0,10339,8827,8555,272,2196,654,5530,25,90,22,10339,8832,8517,315,giresun,giresun,TR.GI,28,28,TR903,TU28,417505,6934,BS,eynesil,eynesil,eynesil
97069,82694,81363,282,282,40237,4945,41126,5055,1352,93102,78849,77097,322,77419,1430,32858,22140,1038,17807,94030,79877,78766,0,78766,1111,39580,20771,638,15254,37028,8120,18239,18353,1081,1391,227,205,0,98800,86368,84644,1724,29622,8222,45119,272,932,193,98800,86381,84360,2021,giresun,giresun,TR.GI,28,28,TR903,TU28,417505,6934,BS,giresun merkez,giresun merkez,giresun
24174,18764,18385,110,110,10718,5830,7667,4170,1361,23923,19269,18751,0,18751,518,9398,4703,192,3642,23662,19206,18833,0,18833,373,11351,4158,124,2578,10135,2080,4204,2858,219,203,72,63,0,24214,20498,19834,664,5566,1974,11956,68,136,49,24214,20507,19749,758,giresun,giresun,TR.GI,28,28,TR903,TU28,417505,6934,BS,görele,gorele,gorele
5943,5266,5190,24,24,4133,7963,1057,2037,1930,5961,4923,4807,0,4807,116,3472,641,20,465,5881,5264,5207,0,5207,57,4062,611,11,391,3609,571,611,453,48,27,19,11,0,6066,5466,5349,117,850,239,4176,5,42,10,6066,5466,5322,144,giresun,giresun,TR.GI,28,28,TR903,TU28,417505,6934,BS,güce,guce,guce
17104,13763,13439,74,74,8123,6044,5316,3956,1465,16371,13731,13352,0,13352,379,7200,2999,81,2347,16342,13835,13575,0,13575,260,8302,2843,43,1877,7702,1412,2442,1950,182,115,48,95,0,17023,14358,13946,412,3402,1256,8952,36,145,61,17023,14361,13852,509,giresun,giresun,TR.GI,28,28,TR903,TU28,417505,6934,BS,keşap,kesap,kesap
10098,8596,8447,40,40,4902,5803,3545,4197,1837,10348,8782,8601,0,8601,181,4522,2493,65,1159,10374,8884,8761,0,8761,123,5036,2558,35,860,4839,712,2278,1056,130,67,21,27,0,10578,9358,9130,228,2844,604,5520,23,88,20,10578,9365,9099,266,giresun,giresun,TR.GI,28,28,TR903,TU28,417505,6934,BS,piraziz,piraziz,piraziz
15240,11949,11764,92,92,9022,7669,2742,2331,1654,15792,12884,12596,0,12596,288,7622,1375,93,2852,15414,12642,12449,0,12449,193,8770,1230,31,2027,8465,2204,1194,1250,158,76,35,24,0,15985,13736,13406,330,1657,982,10541,32,97,17,15985,13741,13326,415,giresun,giresun,TR.GI,28,28,TR903,TU28,417505,6934,BS,şebinkarahisar,sebinkarahisar,sebinkarahisar
23836,19946,19495,90,90,12177,6246,7318,3754,1678,23396,19534,19046,0,19046,488,10197,3751,207,4086,23689,20026,19653,0,19653,373,11957,3585,101,3365,10657,2779,3399,3348,185,186,42,66,0,24540,21239,20662,577,4799,2334,13154,53,156,40,24540,21241,20536,705,giresun,giresun,TR.GI,28,28,TR903,TU28,417505,6934,BS,tirebolu,tirebolu,tirebolu
11895,10245,10063,47,47,8096,8045,1967,1955,1854,12033,9951,9701,3,9704,247,6726,764,49,1639,12051,10486,10295,0,10295,191,8027,710,25,1231,6881,1094,708,1096,117,52,59,46,0,12036,10402,10053,349,1083,843,7898,14,85,28,12036,10404,9951,453,giresun,giresun,TR.GI,28,28,TR903,TU28,417505,6934,BS,yağlıdere,yaglidere,yaglidere
